Title,Character,Max Level,SA Level,Rarity,Type,Cost,ID,JP Release Date,Global Release Date,Special Skills,Leader Skill,Super Attack Name,Super Attack Effect,Passive Skill Name,Passive Skill,Links,Categories,HP,Attack,Defense,Details,References,Transforms Into,JP EZA Release Date,Global EZA Release Date,EZA Leader Skill,EZA Super Attack Name,EZA Super Attack Effect,EZA Passive Skill,EZA HP,EZA Attack,EZA Defense,Transformation Type,Transformation Condition,EZA Transformation Condition,EZA Ultra Super Attack Name,EZA Ultra Super Attack Effect,Ultra Super Attack Name,Ultra Super Attack Effect,EZA Active Skill Name,EZA Active Skill,EZA Activation Condition,Active Skill Name,Active Skill,Activation Condition,Unit Super Attack Name,Unit Super Attack Effect,EZA Unit Super Attack Name,EZA Unit Super Attack Effect
An Exciting Adventure,Goku (Youth),80/100,1/10,SSR to UR,STR to Super STR,16/23,1225,3 Sep 2015,Prior to 30 Oct 2015,"[""Boost All"", ""Raise ATK""]",ATK + 25% for all Types,Kamehameha,Causes extreme damage to enemy,A Good Run,ATK +70% when there are 3 or more enemies,"[""All in the Family Lv 1: DEF +15%Lv 10: DEF +20%"", ""Turtle School Lv 1: ATK & DEF +10%Lv 10: Ki +2 and ATK & DEF +20%"", ""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""The Incredible Adventure Lv 1: Ki +2Lv 10: Ki +3 and ATK & DEF +7%"", ""Guidance of the Dragon Balls Lv 1: ATK +20%Lv 10: ATK +20% and chance of performing a critical hit +7%""]","[""Low-Class Warrior"", ""World Tournament"", ""Pure Saiyans"", ""Dragon Ball Seekers"", ""Goku's Family"", ""Youth"", ""DB Saga"", ""Kamehameha"", ""Bond of Master and Disciple"", ""Turtle School"", ""Bond of Friendship"", ""Bond of Parent and Child""]","[""2191"", ""8638"", ""9838"", ""11638""]","[""1765"", ""6971"", ""8171"", ""10211""]","[""1072"", ""4174"", ""5374"", ""6934""]","[""\u25ba 12 Ki Multiplier is 132%"", ""\u25ba  can be farmed to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terror Strikes Again,Demon King Piccolo (Elder),80/100,1/10,SSR to UR,INT to Extreme INT,18/26,1226,3 Sep 2015,Prior to 30 Oct 2015,"[""Boost All"", ""Lower ATK"", ""Lower DEF"", ""Raise Ki""]",All Types Ki +2,Makosen,Extreme damage to enemy and lowers DEF[1],Martial Massacre,All enemies ATK -12%,"[""Revival Lv 1: Ki +2Lv 10: Ki +2; ATK & DEF +5% and recovers 5% HP when HP is 50% or less"", ""Demonic Ways Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +10%"", ""Strength in Unity Lv 1: Ki +1Lv 10: Ki +2 and recovers 3% HP"", ""The Incredible Adventure Lv 1: Ki +2Lv 10: Ki +3 and ATK & DEF +7%"", ""Guidance of the Dragon Balls Lv 1: ATK +20%Lv 10: ATK +20% and chance of performing a critical hit +7%"", ""Nightmare Lv 1: ATK +10%Lv 10: ATK +15%""]","[""Resurrected Warriors"", ""Namekians"", ""Dragon Ball Seekers"", ""Time Travelers"", ""DB Saga"", ""Terrifying Conquerors"", ""Gifted Warriors"", ""Storied Figures"", ""Legendary Existence"", ""Sworn Enemies"", ""Worldwide Chaos""]","[""2353"", ""9479"", ""10679"", ""12479""]","[""1796"", ""7177"", ""8377"", ""10177""]","[""828"", ""3252"", ""4452"", ""6252""]","[""\u25ba 12 Ki Multiplier is 130%""]","[""\u2191 Lowers enemy's DEF by 20% for 3 turns\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Power Desperation,Demon King Piccolo,80/100,1/10,SSR to UR,TEQ to Extreme TEQ,16/23,1227,3 Sep 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Raise Ki"", ""Raise ATK"", ""Stun""]","TEQ, INT and STR Type ATK +30%",Explosive Demon Wave,Extreme damage and may stun the enemy[1],Full Flowering Power,TEQ and INT Type Ki +2,"[""Thirst for Conquest Lv 1: ATK +15%Lv 10: ATK & DEF +15%"", ""Demonic Ways Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +10%"", ""Strength in Unity Lv 1: Ki +1Lv 10: Ki +2 and recovers 3% HP"", ""The Incredible Adventure Lv 1: Ki +2Lv 10: Ki +3 and ATK & DEF +7%"", ""Guidance of the Dragon Balls Lv 1: ATK +20%Lv 10: ATK +20% and chance of performing a critical hit +7%"", ""Nightmare Lv 1: ATK +10%Lv 10: ATK +15%""]","[""Resurrected Warriors"", ""Namekians"", ""Full Power"", ""DB Saga"", ""Terrifying Conquerors"", ""Gifted Warriors"", ""Storied Figures"", ""Legendary Existence"", ""Sworn Enemies"", ""Accelerated Battle"", ""Worldwide Chaos"", ""Battle of Fate""]","[""2242"", ""8573"", ""9773"", ""11333""]","[""1707"", ""6629"", ""7829"", ""9869""]","[""1196"", ""4536"", ""5736"", ""7536""]","[""\u25ba 12 Ki Multiplier is 138%""]","[""\u2191 10% chance to stun the enemy for 2 turns\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Heir to the Evil King,Piccolo Jr.,60/80,1/10,SR to SSR,PHY to Extreme PHY,9/14,1228,29 May 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Raise Ki"", ""Stun""]",PHY Type Ki +3,Super Explosive Wave,Causes huge damage to enemy,Demon King's Alter Ego,Rare chance to stun all enemies[1],"[""Big Bad Bosses Lv 1: ATK & DEF +25% when HP is 80% or lessLv 10: ATK & DEF +25%"", ""Bombardment Lv 1: ATK +15%Lv 10: ATK +20%"", ""Tough as Nails Lv 1: DEF +15%Lv 10: DEF +20% and reduces damage received by 5%"", ""Demonic Ways Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +10%"", ""Strength in Unity Lv 1: Ki +1Lv 10: Ki +2 and recovers 3% HP""]","[""World Tournament"", ""Namekians"", ""Terrifying Conquerors"", ""Target: Goku"", ""Revenge"", ""Gifted Warriors"", ""Entrusted Will"", ""Worldwide Chaos"", ""Battle of Fate""]","[""1414"", ""5990""]","[""1152"", ""6092""]","[""946"", ""3966""]","[""\u25ba 12 Ki Multiplier is 130%"", ""\u25ba This character is no longer obtainable.""]","[""\u2191 4% chance to stun all enemies for 1 turn\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Impressive Ninja Skills,Murasaki,40/60,1/10,R to SR,AGL to Extreme AGL,6,1230,3 Sep 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Raise Ki"", ""Seal Super Attack""]",AGL Type Ki +1,Ninpo Kasumi Shuriken,Causes damage to enemy and seals Super Attack,Quintuplets,Rare chance[1] of Ki +5,"[""RR Army Lv 1: ATK +10%Lv 10: ATK & DEF +10%"", ""Flee Lv 1: Ki +1 when HP is 30% or lessLv 10: Ki +2 and chance of evading enemy's attack (including Super Attack) +10% when HP is 50% or less"", ""Coward Lv 1: Ki +1Lv 10: Ki +2 and chance of performing a critical hit +5%"", ""The Incredible Adventure Lv 1: Ki +2Lv 10: Ki +3 and ATK & DEF +7%"", ""Guidance of the Dragon Balls Lv 1: ATK +20%Lv 10: ATK +20% and chance of performing a critical hit +7%""]","[""Dragon Ball Seekers"", ""DB Saga"", ""Terrifying Conquerors"", ""Earthlings""]","[""887"", ""4801""]","[""815"", ""3733""]","[""611"", ""3219""]","[""\u25ba 12 Ki Multiplier is 115%""]","[""\u2191 5% chance of Ki +5\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Blue Gaze,General Blue,60/80,1/10,SR to SSR,INT to Extreme INT,8/12,1231,3 Sep 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Raise ATK"", ""Stun""]",AGL and INT Type ATK +20%,Telekinesis,Low damage and great chance to stun the enemy[1],Evil Beam Eyes,Rare chance of stunning all enemies[2],"[""RR Army Lv 1: ATK +10%Lv 10: ATK & DEF +10%"", ""Telekinesis Lv 1: All enemies' DEF -10%Lv 10: All enemies' DEF -20%"", ""Brutal Beatdown Lv 1: ATK +10%Lv 10: ATK +15%"", ""The Incredible Adventure Lv 1: Ki +2Lv 10: Ki +3 and ATK & DEF +7%"", ""Guidance of the Dragon Balls Lv 1: ATK +20%Lv 10: ATK +20% and chance of performing a critical hit +7%""]","[""Dragon Ball Seekers"", ""DB Saga"", ""Terrifying Conquerors"", ""Earthlings"", ""Inhuman Deeds""]","[""1459"", ""6284""]","[""1005"", ""5487""]","[""957"", ""4076""]","[""\u25ba 12 Ki Multiplier is 130%"", ""\u25ba Average chance of stunning at least one enemy = 72.4%""]","[""\u2191 70% chance to stun the enemy for 2 turns\n"", ""\u2191 8% chance of stunning all enemies for 1 turn\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
A Girl's Rage,Chi-Chi (Youth),60/80,1/10,SR to SSR,Super STR,8/12,1232,6 Jul 2015,Prior to 30 Oct 2015,"[""Boost All"", ""Damage Reduction"", ""Lower ATK"", ""Stun""]",Damage received reduced by 15%,Stay Away From Me!,Causes huge damage to enemy and lowers ATK[1],Immaculate Innocence,May stun the attacked enemy within the same turn[2],"[""The Innocents Lv 1: ATK +10%Lv 10: ATK +15%"", ""Battlefield Diva Lv 1: Ki +2Lv 10: Ki +3 and chance of evading enemy's attack (including Super Attack) +5%"", ""The Incredible Adventure Lv 1: Ki +2Lv 10: Ki +3 and ATK & DEF +7%""]","[""Peppy Gals"", ""World Tournament"", ""Youth"", ""DB Saga"", ""Earthlings"", ""Bond of Parent and Child""]","[""3024"", ""5273""]","[""2875"", ""5275""]","[""2150"", ""3278""]","[""\u25ba 12 Ki Multiplier is 120%""]","[""\u2191 Lowers enemy's ATK by 10% for 3 turns\n"", ""\u2191 25% chance to stun attacked enemy for 1 turn\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Marauding Bandit of the Wild,Yamcha,60/80,1/10,SR to SSR,PHY to Super PHY,8/12,1233,3 Sep 2015,Prior to 30 Oct 2015,"[""Boost All"", ""Lower ATK"", ""Lower DEF"", ""Raise ATK""]",INT Type enemy ATK -25%,Wolf Fang Fist,Causes huge damage to enemy and lowers DEF[1],The Great Robbery,All Types ATK +1000,"[""Brainiacs Lv 1: ATK & DEF +10%Lv 10: ATK & DEF +15%"", ""Solid Support Lv 1: ATK +10% and all enemies' DEF -15%Lv 10: ATK +15% and all enemies' DEF -20%"", ""Speedy Retribution Lv 1: ATK +10%Lv 10: ATK +15% and chance of evading enemy's attack (including Super Attack) +5%"", ""The Incredible Adventure Lv 1: Ki +2Lv 10: Ki +3 and ATK & DEF +7%"", ""Guidance of the Dragon Balls Lv 1: ATK +20%Lv 10: ATK +20% and chance of performing a critical hit +7%""]","[""Dragon Ball Seekers"", ""DB Saga"", ""Worthy Rivals"", ""Earthlings""]","[""1764"", ""6498""]","[""1186"", ""5749""]","[""1007"", ""3686""]","[""\u25ba 12 Ki Multiplier is 128%"", ""\u25ba  can be farmed to raise Super Attack\u25ba  can be purchased with Treasure Items and can be used to raise Super Attack""]","[""\u2191 Lowers enemy's DEF by 20% for 3 turns\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Boundless Ambition,Krillin (Youth),60/80,1/10,SR to SSR,Super STR,8/12,1234,4 Aug 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Raise Ki"", ""Raise ATK""]",AGL and STR Type ATK +25%,Kamehameha,Causes huge damage to enemy,Assiduous Application,Ki +2 when HP is 80% or above,"[""The Incredible Adventure Lv 1: Ki +2Lv 10: Ki +3 and ATK & DEF +7%"", ""Turtle School Lv 1: ATK & DEF +10%Lv 10: Ki +2 and ATK & DEF +20%"", ""Courage Lv 1: Ki +1Lv 10: Ki +2 and ATK +10%"", ""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack""]","[""World Tournament"", ""Youth"", ""DB Saga"", ""Kamehameha"", ""Bond of Master and Disciple"", ""Earthlings"", ""Battle of Wits"", ""Turtle School"", ""Bond of Friendship""]","[""1575"", ""5998""]","[""990"", ""5099""]","[""863"", ""3249""]","[""\u25ba 12 Ki Multiplier is 130%""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masterful Technique,Master Roshi (Max Power),80/100,1/10,SSR to UR,Super AGL,16/23,1235,6 Jul 2015,Prior to 30 Oct 2015,"[""Boost All"", ""Boost Type"", ""Raise Ki"", ""Raise ATK""]",AGL Type ATK +30%,Kamehameha,Causes extreme damage to enemy,Master's Teaching,Ki +2 for all allies when HP is 50% or above,"[""World Tournament Champion Lv 1: Ki +1Lv 10: Ki +2 and DEF +10%"", ""Turtle School Lv 1: ATK & DEF +10%Lv 10: Ki +2 and ATK & DEF +20%"", ""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Supreme Warrior Lv 1: Ki +1Lv 10: Ki +2 and ATK +10%""]","[""Full Power"", ""Movie Heroes"", ""DB Saga"", ""Kamehameha"", ""Bond of Master and Disciple"", ""Earthlings"", ""Battle of Wits"", ""Turtle School""]","[""4764"", ""7850"", ""9050"", ""10610""]","[""3980"", ""6573"", ""7773"", ""9573""]","[""2525"", ""3478"", ""4678"", ""6718""]","[""\u25ba 12 Ki Multiplier is 130%"", ""\u25ba  can be purchased with Treasure Items and can be used to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devilish Deception,Devilman,60/80,1/10,SR to SSR,AGL to Extreme AGL,8/12,1236,3 Sep 2015,Prior to 30 Oct 2015,"[""Boost All"", ""Raise ATK""]",ATK +25% when HP is 30% or below,Devilmite Beam,Causes huge damage to enemy,Demon from Hell,Ultra-rare chance to grant a deadly power to Super ATK[1],"[""Demonic Power Lv 1: ATK +20%Lv 10: ATK +20% and DEF +10%"", ""World Tournament Champion Lv 1: Ki +1Lv 10: Ki +2 and DEF +10%"", ""Fortuneteller Baba's Fighter - The Incredible Adventure Lv 1: Ki +2Lv 10: Ki +3 and ATK & DEF +7%"", ""Guidance of the Dragon Balls Lv 1: ATK +20%Lv 10: ATK +20% and chance of performing a critical hit +7%""]","[""World Tournament"", ""DB Saga"", ""Earthlings""]","[""1032"", ""5058""]","[""773"", ""4723""]","[""591"", ""2779""]","[""\u25ba 12 Ki Multiplier is 120%""]","[""\u2191 1% chance to gain ATK +1,000,000%\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone-Dry Battle,Bandages,40/60,1/10,R to SR,AGL to Extreme AGL,6,1237,3 Sep 2015,Prior to 30 Oct 2015,"[""Boost All"", ""Damage Reduction"", ""Raise HP""]",HP +15%,Geh heh heh,Causes huge damage to enemy,Next-Level Power,Damage received -30% when guard is activated,"[""More Than Meets the Eye Lv 1: ATK +10%Lv 10: ATK & DEF +10%"", ""Tough as Nails Lv 1: DEF +15%Lv 10: DEF +20% and reduces damage received by 5%"", ""Fortuneteller Baba's Fighter - The Incredible Adventure Lv 1: Ki +2Lv 10: Ki +3 and ATK & DEF +7%"", ""Guidance of the Dragon Balls Lv 1: ATK +20%Lv 10: ATK +20% and chance of performing a critical hit +7%""]","[""DB Saga"", ""Earthlings""]","[""1032"", ""5058""]","[""802"", ""3378""]","[""555"", ""2585""]","[""\u25ba 12 Ki Multiplier is 120%""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unusual Battle Skills,Dracula Man,40/60,1/10,R to SR,STR to Extreme STR,6,1238,3 Sep 2015,Prior to 30 Oct 2015,"[""Boost All"", ""Immune to Negative Effects"", ""Recovery"", ""Seal Super Attack""]",Immune to negative effects,Blood-Sucking,Causes damage and seals Super Attack,Life Stealing,Recovers 7% of damage dealt as HP,"[""Metamorphosis Lv 1: Recovers 5% HPLv 10: Recovers 5% HP and ATK & DEF +10%"", ""Flee Lv 1: Ki +1 when HP is 30% or lessLv 10: Ki +2 and chance of evading enemy's attack (including Super Attack) +10% when HP is 50% or less"", ""Fortuneteller Baba's Fighter - The Incredible Adventure Lv 1: Ki +2Lv 10: Ki +3 and ATK & DEF +7%"", ""Guidance of the Dragon Balls Lv 1: ATK +20%Lv 10: ATK +20% and chance of performing a critical hit +7%""]","[""DB Saga"", ""Earthlings""]","[""1016"", ""4971""]","[""812"", ""3430""]","[""551"", ""2563""]","[""\u25ba 12 Ki Multiplier is 120%""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Miracle of Potara,Vegito,80/100,1/10,SSR to UR,TEQ to Super TEQ,18/26,1239,17 Sep 2015,Prior to 30 Oct 2015,"[""Boost All"", ""Raise ATK""]",All types ATK +25%,Big Bang Attack,Supreme damage and allies' ATK +20% for 1 turn,The Ultimate Fusion,ATK +25% for all allies,"[""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""The Saiyan Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +5%"", ""Prepared for Battle Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""Power Bestowed by God Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Fused Fighter Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""Supreme Power Lv 1: ATK & DEF +5% and activates PenetrationLv 10: ATK & DEF +10% and activates Penetration""]","[""Majin Buu Saga"", ""Potara"", ""Final Trump Card"", ""Battle of Wits"", ""Fused Fighters""]","[""2167"", ""8447"", ""10447"", ""13047""]","[""1936"", ""7605"", ""9605"", ""13005""]","[""1159"", ""4474"", ""6474"", ""9474""]","[""\u25ba 12 Ki Multiplier is 145%"", ""\u25ba  can be farmed to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double the Power,Gotenks,80/100,1/10,SSR to UR,AGL to Super AGL,18/26,1240,9 Nov 2015,Prior to 30 Oct 2015,"[""Boost All"", ""Raise Ki"", ""Raise ATK (Ki Sphere)""]",All Types Ki +2,Victory Cannon,Causes supreme damage to enemy,Full of Confidence,ATK +10% for every Ki Sphere obtained,"[""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""The Saiyan Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +5%"", ""The Innocents Lv 1: ATK +10%Lv 10: ATK +15%"", ""Shocking Speed Lv 1: Ki +2Lv 10: Ki +2 and DEF +5%"", ""Fused Fighter Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""Supreme Power Lv 1: ATK & DEF +5% and activates PenetrationLv 10: ATK & DEF +10% and activates Penetration""]","[""Fusion"", ""Hybrid Saiyans"", ""Majin Buu Saga"", ""Youth"", ""Special Pose"", ""Rapid Growth"", ""Connected Hope"", ""Gifted Warriors"", ""Heavenly Events"", ""Time Limit"", ""Entrusted Will"", ""Fused Fighters""]","[""1940"", ""7725"", ""9725"", ""12325""]","[""1891"", ""7530"", ""9530"", ""12530""]","[""950"", ""3725"", ""5725"", ""9125""]","[""\u25ba 12 Ki Multiplier is 120%"", ""\u25ba  can be farmed to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unpredictable Paunch,Veku,60/80,1/10,SR to SSR,PHY to Super PHY,10/14,1241,4 Feb 2016,8 Jul 2016,"[""Boost Type"", ""Damage Reduction"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]",PHY Type HP & ATK & DEF +20%,Kamehameha,Causes huge damage to enemy,Unforeseen Movement,High chance[1] to reduce damage received by 50%,"[""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""Tough as Nails Lv 1: DEF +15%Lv 10: DEF +20% and reduces damage received by 5%"", ""Fusion Failure Lv 1: Recovers 3% HPLv 10: Recovers 7% HP"", ""Fused Fighter Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""Fusion"", ""Movie Heroes"", ""Kamehameha"", ""Otherworld Warriors"", ""Time Limit"", ""Fused Fighters""]","[""2364"", ""9480""]","[""1121"", ""5413""]","[""10"", ""388""]","[""\u25ba 12 Ki Multiplier is 115%""]","[""\u2191 50% chance to reduce damage received by 50%\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Divine Evolution,Super Saiyan God SS Goku,60/80,1/10,SR to SSR,INT to Super INT,7/12,1242,18 Apr 2015,Prior to 30 Oct 2015,"[""Boost All"", ""Raise Ki"", ""Raise ATK""]",All Types ATK +15%,Kamehameha,Causes extreme damage to enemy,Limit Break,Super-rare chance[1] of Ki +7 and ATK +2500,"[""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Warrior Gods Lv 1: ATK +10%Lv 10: ATK +10%; ATK +5% when performing a Super Attack"", ""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Super-God Combat Lv 1: ATK +15%Lv 10: ATK +20%"", ""Resurrection 'F' Lv 1: ATK +10%Lv 10: Ki +1 and ATK & DEF +10%""]","[""Realm of Gods"", ""Pure Saiyans"", ""Movie Heroes"", ""Goku's Family"", ""Kamehameha"", ""Bond of Master and Disciple"", ""Turtle School"", ""Bond of Friendship"", ""Accelerated Battle"", ""Mastered Evolution"", ""Battle of Fate"", ""Power Beyond Super Saiyan"", ""Bond of Parent and Child""]","[""1286"", ""5739""]","[""1587"", ""6385""]","[""772"", ""3572""]","[""\u25ba 12 Ki Multiplier is 123%"", ""\u25ba This character is no longer obtainable."", ""\u25ba  can be farmed to raise Super Attack""]","[""\u2191 2% chance of Ki +7 and ATK +2500\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Strength,Goku,60/80,1/10,SR to SSR,STR to Super STR,6,1243,21 Apr 2015,,"[""Boost Type"", ""Raise ATK""]",STR Type ATK +25%,Kamehameha,Causes huge damage to enemy,Force of Will,Rare chance of increasing ATK by 50%,"[""All in the Family Lv 1: DEF +15%Lv 10: DEF +20%"", ""High Compatibility Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +10%"", ""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Galactic Visitor Lv 1: Ki +1Lv 10: Ki +2 and DEF +20%"", ""Resurrection 'F' Lv 1: ATK +10%Lv 10: Ki +1 and ATK & DEF +10%""]","[""Pure Saiyans"", ""Goku's Family"", ""Kamehameha"", ""Bond of Master and Disciple"", ""Turtle School"", ""Bond of Friendship"", ""Accelerated Battle"", ""Bond of Parent and Child""]","[""1724"", ""6767""]","[""1118"", ""5682""]","[""744"", ""2860""]","[""\u25ba 12 Ki Multiplier is 120%"", ""\u25ba  can be farmed to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Brilliance,Goku,80/100,1/10,SSR to UR,STR to Super STR,18/26,1245,1 Dec 2015,6 Apr 2016,"[""Boost Type"", ""Raise HP"", ""Raise ATK"", ""Raise ATK (Ki Sphere)"", ""Recovery (Ki Sphere)""]",AGL and STR Type HP & ATK +30%,Super Spirit Bomb,Causes supreme damage to enemy,Give Me Your Energy!,ATK +15% per STR Ki obtained & recover HP with candy[1],"[""Z Fighters Lv 1: ATK +15%Lv 10: ATK +20%"", ""All in the Family Lv 1: DEF +15%Lv 10: DEF +20%"", ""Infighter Lv 1: ATK +10% and all enemies' DEF -10%Lv 10: ATK +15% and all enemies' DEF -15%"", ""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""Prepared for Battle Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""Golden Z-Fighter Lv 1: Ki +2Lv 10: Ki +3 and chance of performing a critical hit +5%"", ""Supreme Power Lv 1: ATK & DEF +5% and activates PenetrationLv 10: ATK & DEF +10% and activates Penetration""]","[""Majin Buu Saga"", ""Pure Saiyans"", ""Goku's Family"", ""Final Trump Card"", ""Connected Hope"", ""Turtle School"", ""Bond of Friendship"", ""Accelerated Battle"", ""Battle of Fate"", ""Bond of Parent and Child""]","[""2694"", ""10116"", ""12116"", ""15116""]","[""1805"", ""6934"", ""8934"", ""12334""]","[""908"", ""3357"", ""5357"", ""7957""]","[""\u25ba 12 Ki Multiplier is 130%"", ""\u25ba  can be farmed to raise Super Attack""]","[""\u2191 Recovers 5000 HP per candy obtained in certain events\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Exerted Ability,Vegeta,80/100,1/10,SSR to UR,INT to Super INT,18/26,1246,1 Dec 2015,6 Apr 2016,"[""Boost Type"", ""Raise HP"", ""Raise ATK"", ""Raise ATK (Ki Sphere)"", ""Recovery (Ki Sphere)""]",INT and PHY Type HP & ATK +30%,Big Bang Attack,Causes extreme damage to enemy,Message to Earth,ATK +15% per INT Ki obtained & recover HP with candy[1],"[""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""Royal Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK +5%"", ""Saiyan Pride Lv 1: ATK +15%Lv 10: ATK +20%"", ""Prodigies Lv 1: ATK +10%Lv 10: ATK +15%"", ""Prepared for Battle Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""Golden Z-Fighter Lv 1: Ki +2Lv 10: Ki +3 and chance of performing a critical hit +5%"", ""Supreme Power Lv 1: ATK & DEF +5% and activates PenetrationLv 10: ATK & DEF +10% and activates Penetration""]","[""Majin Buu Saga"", ""Pure Saiyans"", ""Vegeta's Family"", ""Worthy Rivals"", ""All-Out Struggle"", ""Connected Hope"", ""Gifted Warriors"", ""Battle of Fate"", ""Bond of Parent and Child""]","[""2077"", ""7775"", ""9775"", ""12775""]","[""1970"", ""7559"", ""9559"", ""12559""]","[""1010"", ""3747"", ""5747"", ""8747""]","[""\u25ba 12 Ki Multiplier is 130%"", ""\u25ba  can be farmed to raise Super Attack""]","[""\u2191 Recovers 5000 HP per candy obtained in certain events\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Coldhearted Invasion,Cooler,60/80,1/10,SR to SSR,INT to Extreme INT,8/12,1247,17 Jul 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Raise ATK"", ""Raise DEF""]",TEQ & INT Type ATK +20%,Death Flash,Causes huge damage to enemy,Relentless Pursuit,ATK and DEF +1000 at start of turn,"[""Strongest Clan in Space Lv 1: Ki +2Lv 10: All enemies' DEF -10% and Ki +2"", ""Thirst for Conquest Lv 1: ATK +15%Lv 10: ATK & DEF +15%"", ""Cold Judgment Lv 1: DEF +20%Lv 10: DEF +25%"", ""Brutal Beatdown Lv 1: ATK +10%Lv 10: ATK +15%""]","[""Movie Bosses"", ""Transformation Boost"", ""Wicked Bloodline"", ""Terrifying Conquerors"", ""Target: Goku"", ""Space-Traveling Warriors"", ""Planetary Destruction""]","[""2052"", ""7743""]","[""1181"", ""5797""]","[""852"", ""3168""]","[""\u25ba 12 Ki Multiplier is 130%"", ""\u25ba  can be farmed to raise Super Attack\u25ba  can be purchased with Treasure Items and can be used to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
